,Node Start,Node End,Stretch Length (km),2024_03_09,2024_04_06,2024_04_20,2024_04_29,2024_05_04,2024_05_16,2024_05_29,2024_06_01,2024_06_03,2024_06_17,2024_06_29,2024_07_20,2024_07_24,2024_07_27,2024_07_29,2024_08_12,2024_08_21,2024_08_24,2024_08_26,2024_09_14,2024_09_18,2024_09_21,2024_09_23,2024_10_23,2024_11_23,2025_01_18,2025_04_05
53,70,69,1.387348,Not enough information,Active,Active,Active,Active,Active,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
54,71,72,0.229589,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
55,72,g7,0.611103,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
56,73,g7,0.290978,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Active,Active,Active
57,74,g8,1.380911,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
58,75,76,1.134897,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active
59,76,g9,0.659896,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active
60,g1,g0,2.131869,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
61,g2,g1,0.27004,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
62,g3,13,0.245688,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
63,g4,g5,1.278296,Not enough information,Active,Active,Active,Active,Active,Active,Active,Disconnected,Disconnected,Disconnected,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Active
64,g5,37,0.407203,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Disconnected,Disconnected,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Active
65,g6,38,0.656839,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
66,g7,g8,0.036979,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
67,g8,g3,6.005764,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
68,g9,74,2.426567,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
69,g10,44,1.157848,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Active,Active
70,g11,58,0.293235,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
71,g12,40,1.747418,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
72,g13,64,0.647202,Active,Disconnected,Active,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Active,Active
73,g14,62,2.318856,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
74,g15,53,0.239502,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Not Active,Not Active,Active,Active,Active,Active,Active,Active
75,g16,69,1.692166,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
76,g16,g17,2.037689,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
77,g17,g18,2.058204,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
78,g18,g19,0.734186,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
79,g19,g2,0.877515,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
80,g20,35,0.219986,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Active,Active
